0B7F1228-5528-404C-A8CF-03EFD3171B7D,Hermelin,Ich bin kein Veganer,2021-06-22 09:48:16.3166667
0B7F1228-5528-404C-A8CF-03EFD3171B7D,Leroy,Ich auch nicht,2021-06-22 09:48:42.2533333
0B7F1228-5528-404C-A8CF-03EFD3171B7D,Hermelin,wieso nicht?,2021-06-22 09:49:20.8800000
0B7F1228-5528-404C-A8CF-03EFD3171B7D,Hermelin,ich finde ja das vegane ernährung ist eine gefahr für die gesundheit,2021-06-22 09:50:42.8800000
0B7F1228-5528-404C-A8CF-03EFD3171B7D,Leroy,"Nö, das denke ich nicht. Ich mag aber vegetarische und fleischliche Produkte",2021-06-22 09:51:05.9200000
0B7F1228-5528-404C-A8CF-03EFD3171B7D,Hermelin,jetzt habe ich hunger,2021-06-22 09:54:39.4800000
0B7F1228-5528-404C-A8CF-03EFD3171B7D,Leroy,Worauf?,2021-06-22 09:54:44.7133333
0B7F1228-5528-404C-A8CF-03EFD3171B7D,Hermelin,fast food,2021-06-22 09:54:58.2933333
0B6C95B0-8B14-4DC9-B71C-058F0DA182CC,SugarDaddy1977,test,2021-06-18 09:30:13.3533333
81964D53-FDC3-4EC2-AFD4-069FB4BBE5E2,maja,Hallo Dachgeschoß?,2021-06-18 17:36:14.7666667
52318EA6-1EB0-4236-A5D9-0843423159D4,grassroot,Hallo,2021-06-22 10:52:57.1066667
52318EA6-1EB0-4236-A5D9-0843423159D4,albola,Hi :),2021-06-22 10:58:43.2200000
991B0F90-3336-4154-9085-0C850D424AAE,huibuh,Hi :-),2021-07-01 13:45:22.3733333
C6BD83E3-D13F-4192-9D7E-0D28354D83CD,Aragorn,Wie sieht für dich der perfekte Sonntag aus?,2021-06-08 10:43:08.1400000
C6BD83E3-D13F-4192-9D7E-0D28354D83CD,Kaesetoast,"Ausschlafen und dann mit Freunden brunchen. Arbeit im Garten oder spazieren mit einem Hund, den ich mir leider ausleihen muss. Und abends am liebsten aufwendig kochen. Und dein Sonntag?",2021-06-08 10:50:20.7500000
C6BD83E3-D13F-4192-9D7E-0D28354D83CD,Aragorn,"Ich schlafe gerne bis die Sonne mir ins Gesicht scheint. Frühstücken ist nicht so meins, aber den Kaffee genieße ich jedes mal. Gerne gehe ich dann spazieren oder setze mich auch mal bei gutem Wetter in einen Biergarten.",2021-06-08 10:54:57.9633333
3301E100-4C7C-4184-BEE1-0EB3911E1F71,SugarDaddy1977,Wat?,2021-06-08 09:13:02.0033333
3301E100-4C7C-4184-BEE1-0EB3911E1F71,Leroy,Bist du vegan? Wieso?,2021-06-08 09:13:23.0500000
3301E100-4C7C-4184-BEE1-0EB3911E1F71,Leroy,Man sieht den username ja nichtmal,2021-06-08 09:13:50.8366667
3301E100-4C7C-4184-BEE1-0EB3911E1F71,SugarDaddy1977,Ziemlich gay,2021-06-08 09:13:56.4900000
3301E100-4C7C-4184-BEE1-0EB3911E1F71,Leroy,Deutsch schreiben!,2021-06-08 09:14:05.0966667
3301E100-4C7C-4184-BEE1-0EB3911E1F71,SugarDaddy1977,Habe mir extra so viel Mühe gemacht mit einem Username,2021-06-08 09:14:08.6266667
3301E100-4C7C-4184-BEE1-0EB3911E1F71,Leroy,Sonst lernt das künstliche Gehirn hier nix,2021-06-08 09:14:15.5033333
3301E100-4C7C-4184-BEE1-0EB3911E1F71,Leroy,Habe auch kurz über einen _Benutzernamen_ nachgedacht,2021-06-08 09:15:10.7133333
3301E100-4C7C-4184-BEE1-0EB3911E1F71,SugarDaddy1977,Erstmal wie damals bei der Microsoft KI (Tay?) mit antisemitischen Klischees biasen,2021-06-08 09:15:22.8633333
3301E100-4C7C-4184-BEE1-0EB3911E1F71,Leroy,"Die war ja dann am Ende nichtmal nur einfach antisemitisch, die war so böse, vor der hätte Hitler selbst Angst bekommen.",2021-06-08 09:16:02.8200000
3301E100-4C7C-4184-BEE1-0EB3911E1F71,SugarDaddy1977,Schon so auf Heidrich Level   ;),2021-06-08 09:16:25.3500000
3301E100-4C7C-4184-BEE1-0EB3911E1F71,SugarDaddy1977,Was ist eigentlich Jugendwort des Jahres 2020 gewesen?,2021-06-08 09:17:35.5833333
3301E100-4C7C-4184-BEE1-0EB3911E1F71,Leroy,"Ich meine ""Lost""",2021-06-08 09:17:51.4133333
3301E100-4C7C-4184-BEE1-0EB3911E1F71,Leroy,"Jupp, lost",2021-06-08 09:18:06.3200000
3301E100-4C7C-4184-BEE1-0EB3911E1F71,SugarDaddy1977,Mannmannmann,2021-06-08 09:18:09.3333333
3301E100-4C7C-4184-BEE1-0EB3911E1F71,Leroy,"Besser als ""Alman"", ""Wallah"" oder ""Ehrenmann""",2021-06-08 09:18:57.9933333
3301E100-4C7C-4184-BEE1-0EB3911E1F71,Leroy,"Also von allem was da in der Liste bei Wikipedia steht, hätte ich konstant Platz 2 oder 3 bevorzugt",2021-06-08 09:21:05.0933333
3301E100-4C7C-4184-BEE1-0EB3911E1F71,SugarDaddy1977,"Überlege, am Donnerstag ans Institut zu fahren",2021-06-08 09:21:18.5100000
3301E100-4C7C-4184-BEE1-0EB3911E1F71,Leroy,"Meine Favoriten sind ""merkeln"" und ""Arschfax""",2021-06-08 09:21:41.2433333
