user_id;openness;conscientiousness;extraversion;agreeableness;neuroticism;poles
Apfel1;3.6666666666666665;3.6666666666666665;4.666666666666667;6.333333333333333;5.333333333333333;extrovert
Aragorn;4.666666666666667;5.0;4.333333333333333;6.666666666666667;5.0;extrovert
ChatterBot;4.333333333333333;6.666666666666667;3.6666666666666665;4.0;5.666666666666667;extrovert
EM2022;2.3333333333333335;3.6666666666666665;2.6666666666666665;2.6666666666666665;4.666666666666667;introvert
Gandalf;5.333333333333333;4.666666666666667;4.333333333333333;6.333333333333333;4.666666666666667;extrovert
Hermelin;6.333333333333333;4.333333333333333;4.0;3.3333333333333335;3.3333333333333335;extrovert
Kaesetoast;5.666666666666667;6.0;4.666666666666667;5.333333333333333;6.333333333333333;extrovert
Leroy;4.666666666666667;5.0;5.333333333333333;4.666666666666667;2.3333333333333335;extrovert
MamaMiaPizzeria;6.0;3.0;4.333333333333333;4.666666666666667;4.0;extrovert
MonkyMonk;5.666666666666667;4.0;4.333333333333333;6.666666666666667;4.666666666666667;extrovert
Sloth;5.333333333333333;5.333333333333333;4.0;6.0;4.0;extrovert
SugarDaddy1977;2.3333333333333335;3.3333333333333335;6.666666666666667;4.0;1.0;extrovert
TommyHilfiger;1.6666666666666667;2.0;3.0;3.0;4.333333333333333;introvert
Turing;6.0;4.333333333333333;6.0;6.0;4.333333333333333;extrovert
a_stranger;4.666666666666667;3.0;2.6666666666666665;4.666666666666667;4.333333333333333;introvert
albola;6.666666666666667;5.0;6.333333333333333;4.666666666666667;6.333333333333333;extrovert
dude123;4.666666666666667;6.0;6.333333333333333;5.0;3.3333333333333335;extrovert
grassroot;5.666666666666667;5.666666666666667;4.333333333333333;7.0;5.333333333333333;extrovert
hallihallo;5.666666666666667;2.6666666666666665;5.333333333333333;3.6666666666666665;2.3333333333333335;extrovert
huibuh;5.333333333333333;5.0;3.6666666666666665;4.0;6.0;extrovert
isso;5.666666666666667;5.666666666666667;4.0;6.0;1.6666666666666667;extrovert
jonathan;5.0;4.666666666666667;3.3333333333333335;5.333333333333333;6.333333333333333;introvert
maja;3.6666666666666665;4.0;4.333333333333333;4.0;3.6666666666666665;extrovert
milkyway;3.3333333333333335;3.0;5.333333333333333;3.0;4.333333333333333;extrovert
owolf;4.333333333333333;5.333333333333333;5.333333333333333;4.333333333333333;2.6666666666666665;extrovert
phranz;6.666666666666667;5.333333333333333;4.333333333333333;6.0;4.333333333333333;extrovert
tmplxz;2.0;2.6666666666666665;2.0;1.3333333333333333;3.6666666666666665;introvert
turtle;4.0;2.6666666666666665;4.666666666666667;5.0;4.333333333333333;extrovert
turtleneck;3.0;5.0;3.6666666666666665;4.666666666666667;5.666666666666667;extrovert
